# RoboMaster 2026分区赛队伍数据
# full_form_ranking: 本年完整形态排名
# category_2025: national(全国赛) / revival(复活赛) / division(分区赛) / not_participated(未参加对抗赛)
# detail_2025: champion(冠军) / runner_up(亚军) / third_place(季军) / fourth_place(殿军) / quarter_finalist(八强) / top_16(十六强) / top_32(三十二强)
# 队伍类型: 甲级 / 非甲级
# rmul_2026_top4: champion(联盟赛4强冠军) / runner_up(联盟赛4强亚军) / third_place(联盟赛4强季军) / fourth_place(联盟赛4强殿军)

school,team,team_type,city,distance_to_changsha,distance_to_jinan,distance_to_shenyang,points_rank,points,participated_2025,category_2025,detail_2025,full_form_ranking,rmul_2026_top4
华东理工大学,起源,甲级,上海市,887,724,1188,71,8.215,True,revival,revival,16,third_place
长安大学,VGD,甲级,西安市,776,792,1523,72,8.17,True,division,division,17,
北京信息科技大学,星辰,非甲级,北京市,1339,367,628,74,8.07,True,division,division,93,
太原科技大学,NewMaker,非甲级,太原市,1076,426,1026,75,8.0,False,not_participated,,5,champion
南华大学,MA,非甲级,衡阳市,150,1166,1930,77,7.9,True,division,division,48,
山东理工大学,齐奇,非甲级,淄博市,1069,85,722,77,7.9,True,division,division,43,
河北科技大学,Actor&Thinker,非甲级,石家庄市,1104,277,867,79,7.85,True,division,division,39,fourth_place
深圳技术大学,悍匠,非甲级,深圳市,638,1596,2312,79,7.85,True,division,division,59,
成都信息工程大学,风信子,非甲级,成都市,905,1378,2125,82,7.775,True,division,division,50,
华北理工大学,Horizon,非甲级,唐山市,1358,344,504,84,7.6,True,division,division,29,
福建师范大学,PKA,非甲级,福州市,668,1194,1789,85,7.375,True,division,division,88,fourth_place
香港大学,HerKules,非甲级,香港,662,1615,2328,88,7.275,False,not_participated,,86,
青岛大学,未来,非甲级,青岛市,1118,299,690,90,7.1,True,division,division,75,
湘潭大学,逐曦,非甲级,湘潭市,67,1083,1851,92,6.85,True,division,division,71,
西交利物浦大学,GMaster,非甲级,苏州市,815,676,1193,96,6.28,False,not_participated,,79,
常州大学,Climber,非甲级,常州市,784,599,1152,99,6.225,False,not_participated,,92,
仲恺农业工程学院,奇点,非甲级,广州市,564,1549,2281,100,6.165,True,division,division,15,
长沙理工大学,云嵌,非甲级,长沙市,0,1017,1784,105,5.975,True,division,division,51,
华南师范大学,PIONEER,非甲级,广州市,564,1549,2281,114,5.6,False,not_participated,,81,
